name	kind	access	columns	category	description
amazon_browse_node	table	read	10	Amazon account and marketplace dimensions	Amazon browse-node (category) tree, one row per (marketplace_code, id), carrying the node's name, parent, materialized ancestor path and whether it has children.
amazon_browse_node_attribute	table	read	7	Amazon account and marketplace dimensions	Attributes of an Amazon browse node: one row per (marketplace_code, node_id, name) holding that attribute's value.
amazon_browse_node_query	table	read	9	Amazon account and marketplace dimensions	Amazon's browse tree guide query for a browse node, one row per (marketplace_code, node_id): the query string as published, the same query parsed into a map of field name to values, and the item-type keywords hoisted out of it — which are the input to the product-type lookup in amazon_product_type_keyword.
amazon_country	table	read	6	Amazon account and marketplace dimensions	Reference table of the countries Amazon operates in: one row per ISO 3166-1 alpha-2 country code, with its display name, region and time zone.
amazon_marketplace	table	read	10	Amazon account and marketplace dimensions	Reference table of Amazon marketplaces: one row per marketplace id, with its short code, display name, country, default currency and language, storefront domain and time zone.
amazon_merchant	table	read	5	Amazon account and marketplace dimensions	One row per Amazon seller account (merchant) known to this workspace, with its display name and whether it is currently active.
amazon_product_type_keyword	table	read	6	Amazon account and marketplace dimensions	Amazon's mapping from an item-type keyword to the product types it belongs to, one row per (marketplace_code, item_type_keyword, product_type).
amazon_store	table	read	9	Amazon account and marketplace dimensions	One row per (merchant, marketplace) storefront the seller sells on, with its marketplace code, country and display name.
amzspapi_sellers_v1__account	table	read	4	Amazon account and marketplace dimensions	The seller account as SP-API Sellers v1 reports it, one row per merchant: business type, selling plan, primary contact and registered business details, all in doc.
amzspapi_sellers_v1__marketplace	table	read	9	Amazon account and marketplace dimensions	One row per Amazon marketplace as SP-API Sellers v1 reports it, with country, name, default currency and language, and storefront domain.
amzspapi_sellers_v1__marketplaceParticipation	table	read	8	Amazon account and marketplace dimensions	One row per (merchant, marketplace) participation from SP-API Sellers v1 getMarketplaceParticipations: whether the seller participates, whether any listings are suspended, and the store name.
